index,id,is_misinfo
100001,1252630938770649089,1
100001,1243968198111789058,1
100001,1242474839966765056,1
100001,1242461115616866304,1
100001,1242400142335983619,1
100001,1238131052582928385,1
100002,1254164579459854336,1
100003,1256227600936177664,1
100003,1256215023619395584,1
100003,1256167023148765186,1
100003,1256064242572300293,1
100003,1256013502298370048,1
100003,1255958833999933440,1
100003,1255911880436178947,1
100003,1255841759877349376,1
100003,1255655200511033344,1
100003,1255638434821083138,1
100003,1255630129000099840,1
100003,1255568949862957057,1
100003,1255526790149353472,1
100003,1255285099899293696,1
100003,1255226064877555715,1
100003,1255205502847516672,1
100003,1255183675248963585,1
100003,1255181275977015296,1
100003,1255144667932266496,1
100003,1254923219359936512,1
100003,1254817528452284426,1
100003,1254630112332443655,1
100003,1254577937078259712,1
100003,1254476000425017344,1
100003,1254472790557802499,1
100003,1254441536261099522,1
100003,1254419960111067136,1
100003,1254176799468240897,1
100003,1253865797375733761,1
100003,1253837309880995844,1
100003,1253728770940383232,1
100003,1253702772471578624,1
100003,1253631890281476096,1
100003,1253444042097975296,1
100003,1253409965194113025,1
100003,1253362977828294657,1
100003,1253361821244895234,1
100003,1253183292947550208,1
100003,1253157289587929089,1
100003,1253092597318500352,1
100003,1252847501251538944,1
100003,1252696391769640962,1
100003,1252683209390739456,1
100003,1252636346134355968,1
100003,1252630938770649089,1
100003,1252622099987877889,1
100003,1252607413846491136,1
100003,1252555497946972160,1
100003,1252428594413842437,1
100003,1252408181260603395,1
100003,1252348097629286400,1
100003,1252314854863466496,1
100003,1252262216184680448,1
100003,1252230982775652354,1
100003,1252205124350545923,1
100003,1252068558676393984,1
100003,1252044512874070016,1
100003,1252022192222564353,1
100003,1252014222851989505,1
100003,1251988266838081537,1
100003,1251922661237800965,1
100003,1251866167032987648,1
100003,1251834541490216960,1
100003,1251740072715706368,1
100003,1251671901983760385,1
100003,1251668952993927170,1
100003,1251568308731740166,1
100003,1251532038194282496,1
100003,1251480260706590720,1
100003,1251470505267396608,1
100003,1251245017395613696,1
100003,1251187362035425281,1
100003,1251085257539031040,1
100003,1251040711023214592,1
100003,1250949774791958528,1
100003,1250936554002034691,1
100003,1250923196116803586,1
100003,1250923047151906816,1
100003,1250896484612145152,1
100003,1250869141562482688,1
100003,1250848833069875209,1
100003,1250729706690936833,1
100003,1250630053345529863,1
100003,1250542140310073350,1
100003,1250422776977969152,1
100003,1250384452448108544,1
100003,1250346513374429185,1
100003,1250225935284162561,1
100003,1250177929084010497,1
100003,1250065376437731331,1
100003,1249961723282501635,1
100003,1249804284155191296,1
100003,1249790552486359040,1
100003,1249716298151612417,1
100003,1249695287989489665,1
100003,1249139542688444416,1
100003,1249083025935106048,1
100003,1249017186661715968,1
100003,1248851277062082561,1
100003,1248762939261116421,1
100003,1248750016216236032,1
100003,1248734135188848641,1
100003,1248696085310251008,1
100003,1248691292286189568,1
100003,1248637084010774529,1
